"id";"moto_similares";"caminhao_similares";"onibus_similares"
261213;"não";"sim";"não"
261214;"sim";"não";"não"
261215;"sim";"não";"não"
261216;"não";"não";"não"
261218;"não";"não";"não"
261219;"não";"sim";"não"
261220;"não";"não";"não"
261221;"não";"não";"não"
261223;"não";"não";"não"
261224;"não";"não";"não"
261225;"não";"não";"não"
261226;"sim";"não";"não"
261227;"não";"não";"não"
261228;"sim";"não";"não"
261229;"não";"não";"não"
261232;"não";"não";"não"
261233;"não";"sim";"não"
261234;"sim";"não";"não"
261235;"sim";"não";"não"
261236;"não";"não";"não"
261237;"sim";"não";"não"
261238;"sim";"não";"não"
261240;"sim";"não";"não"
261241;"não";"não";"não"
